Date,Open,High,Low,Close,Adj Close,Volume
2023-08-18,147.649994,149.500000,147.440002,148.970001,147.878830,8516900
2023-08-21,149.649994,150.100006,148.020004,149.479996,148.385086,8327000
2023-08-22,149.259995,149.639999,145.850006,146.380005,145.307800,9682000
2023-08-23,146.350006,147.589996,145.460007,147.369995,146.290543,7858000
2023-08-24,147.500000,149.410004,146.990005,147.229996,146.151566,6534000
2023-08-25,147.279999,148.619995,145.850006,147.050003,145.972900,6695500
2023-08-28,147.570007,148.610001,147.130005,147.559998,146.479156,5094100
2023-08-29,147.710007,148.850006,147.179993,148.759995,147.670364,6337000
2023-08-30,148.619995,149.149994,147.190002,148.160004,147.074768,6277300
2023-08-31,148.259995,148.350006,145.960007,146.330002,145.258163,10933900
2023-09-01,146.089996,148.080002,145.699997,146.820007,145.744583,7902100
2023-09-05,147.160004,148.210007,145.009995,145.199997,144.136444,7854700
2023-09-06,144.699997,145.539993,144.110001,144.960007,143.898209,8629200
2023-09-07,144.130005,145.270004,143.389999,143.720001,142.667282,8373700
2023-09-08,143.369995,144.119995,142.649994,143.830002,142.776489,7107900
2023-09-11,144.750000,145.050003,143.690002,144.460007,143.401871,6854200
2023-09-12,144.500000,147.320007,144.050003,146.339996,145.268097,8363200
2023-09-13,147.339996,147.699997,145.820007,146.410004,145.337585,8325900
2023-09-14,147.839996,149.899994,147.520004,149.250000,148.156784,10034900
2023-09-15,148.919998,149.729996,148.309998,148.809998,147.720001,19824100
2023-09-18,148.160004,149.139999,147.750000,149.119995,148.027725,6512400
2023-09-19,149.500000,149.720001,147.210007,148.929993,147.839111,7943400
2023-09-20,149.649994,150.250000,148.139999,148.300003,147.213745,7332000
2023-09-21,147.580002,148.850006,146.630005,147.139999,146.062241,8052400
2023-09-22,147.289993,147.509995,145.190002,145.729996,144.662552,7071700
2023-09-25,145.350006,146.520004,143.699997,146.449997,145.377289,7044700
2023-09-26,144.600006,145.839996,144.229996,144.929993,143.868423,7468400
2023-09-27,145.190002,146.089996,144.509995,145.779999,144.712189,6717800
2023-09-28,146.279999,148.869995,146.009995,147.589996,146.508942,8868100
2023-09-29,148.600006,148.759995,144.860001,145.020004,143.957764,11915700
2023-10-02,144.830002,145.619995,142.630005,143.770004,142.716919,9170600
2023-10-03,143.199997,143.589996,142.350006,142.710007,141.664688,9431100
2023-10-04,143.190002,143.470001,141.929993,143.350006,142.300003,8128700
2023-10-05,142.039993,143.100006,140.830002,142.899994,142.899994,8576200
2023-10-06,142.910004,145.880005,142.139999,145.100006,145.100006,10269400
2023-10-09,143.660004,145.399994,143.500000,144.770004,144.770004,6964900
2023-10-10,145.419998,146.770004,145.279999,145.649994,145.649994,11288800
2023-10-11,146.509995,147.229996,145.020004,146.149994,146.149994,8698200
2023-10-12,146.300003,146.960007,145.130005,145.809998,145.809998,10484400
2023-10-13,148.500000,153.110001,147.839996,148.000000,148.000000,29427000
2023-10-16,149.449997,149.520004,146.720001,147.850006,147.850006,12663500
2023-10-17,147.570007,149.309998,146.789993,147.529999,147.529999,11482700
2023-10-18,146.589996,147.479996,145.369995,145.910004,145.910004,9620300
2023-10-19,145.479996,147.020004,144.880005,145.289993,145.289993,11143600
2023-10-20,144.570007,145.139999,142.119995,142.949997,142.949997,13332000
2023-10-23,142.940002,143.679993,140.729996,141.000000,141.000000,10133400
2023-10-24,141.190002,141.729996,140.360001,141.169998,141.169998,8881400
2023-10-25,140.570007,141.179993,139.509995,140.399994,140.399994,8242600
2023-10-26,139.759995,141.669998,139.429993,140.759995,140.759995,9109400
2023-10-27,138.949997,139.100006,135.190002,135.690002,135.690002,17434700
2023-10-30,136.440002,138.039993,136.039993,137.419998,137.419998,9855500
2023-10-31,137.710007,139.240005,137.470001,139.059998,139.059998,9672500
2023-11-01,139.250000,140.529999,138.470001,138.940002,138.940002,9432000
2023-11-02,140.089996,141.479996,139.229996,141.419998,141.419998,10186200
2023-11-03,142.190002,143.770004,141.850006,143.000000,143.000000,9533100
